IntentID,IntentName,Query,Response,Action,InputContent,OutputContent,Lifespan
1,1,Attack of Caterpillar  on bhindi ?,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta,,,,
2,2,ASKED ABOUT BITTER GOURD PLKANTATION ?,"For more information on cultivation, all India Vegetable Reform Project, Mahatma Phule Agricultural University, Rahuri (02426- 243342) or Agriculture Technology Information Center, Dr. Contact us at Panjabrao Deshmukh Agricultural University, Akola (Toll Free No. 18002330724).",,,,
3,3,STEM BORER ATTACK ON MANGO ?,STEM BORER ATTACK ON MANGO  = APPLICATION OF NUWAN,,,,
4,4,Attack of White Fly ?,Spray Ullala 8 gm/15 Lit of Water.UPL,,,,
5,5,ASKED ABOUT Attack of Thrips ON COTTON?,"SPRAY JUMP(FIPRONIL 80%) 3 GM / 15 LITRE OF WATER, BAYER CROP SCIENCE",,,,
6,6,Asking About Market Rate ?,Market Rate of 800-1400  rupees/qtl,,,,
7,7,"Powdery or Downy or Blight(????,????)",Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta,,,,
8,8,fertilizer spray on onion?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,,,,
9,9,Asked about Fertilizer doses on onian?,Fertilizer doses on onian-Apply of 10:26:26 50kg/acre.,,,,
10,10,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER,,,,
11,11,asking about FERTILIZER SPRAY ON red gram ?,FERTILIZER SPRAY ON red gram - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,,,,
12,12,ASKING ABOUT  DRENCHING ON FENUGREEK?,DRENCHING ON FENUGREEK-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.,,,,
13,13,ASKING ABOUT Attack of White Grub ON ONION ?,Attack of White Grub ON ONION - Drenching of Chloropyriphos 40 ml / 15 lit of water.,,,,
14,14,asking about VARIETIES OF CHILLI ?,"VARIETIES OF CHILLI -PUSA JWALA ,SANKESHWARI-32 ,TEJSWINI, SITARA, PHULE JYOTI, PANT C, AGNIREKHA.",,,,
15,15,Asking About ahmadnagar  Market Rate of soyabin ?,Market Rate - AHMEDNAGAR QUINTAL 675 -2850	average	2950  rupees/qt.,,,,
16,16,Attack of Fruit Borer on brinjal ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India,,,,
17,17,ASKED ABOUT APMC PANAN CONTACT NUMBER ?,"APMC PANAN CONTACT NUMBER= 

Directorate of Marketing, Maharashtra State Pune

3rd floor, new intermediate building,

Ambedkar Wellsley Road,

Pune Maharashtra- 411 001.

Telephone number 020-26126628, 26126785

email-dirmktms @ gmai",,,,
18,18,FARMER ASKED ABOUT MARKET RATE OF BAJRA ?,"MARKET RATE OF BAJRA -1311,	1311,	1311 RS/QTL",,,,
19,19,ASKED ABOUT MARKET RATE OF POMOGRANATE ?,RAHATA	Bhagwa	QUINTAL	2635	250	15000	6000,,,,
20,20,Asked about Attack of Thrips on onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,,,,
21,21,ASKING ABOUT ATTACK OF SUCKING PEST ?,Spray Actra 5 gm+ M 45 30 GM/15 Liter of Water(Thiomithoxom 25%)-Syngenta,,,,
22,22,WEED MANAGEMENT IN jowar  ?,"SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER",,,,
23,23,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.,,,,
24,24,ATTACK OF SUCKING PEST ON POMOGRANATE ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,,,,
25,25,ASKING ABOUT FLOWER DROP OF COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,,,,
26,26,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF GUAVA FRUIT?,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER,,,,
27,27,Asked about Attack of Stem Borer on sugarcane?,Attack of Stem Borer on sugarcane-SPRAY of NUVAN 20 ML/ 15 LITERS OF WATER,,,,
28,28,ASKED ABOUT GROWTH OF POMEGRANATE FRUITS?,GROWTH OF POMEGRANATE FRUITS -00:52:34   3 kg  /ACRE,,,,
29,29,Asking About Market Rate ONION ?,Market Rate of OBNION FOR SANGAMNER MARKET   300- 1081	rupees/qtl,,,,
30,30,Asked about animal husbandry department ?,animal husbandry department contact to dr. Jagdish Gudevar 9730066847,,,,
31,31,FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.,,,,
